Article ID,Article Name,Topic,Source Name,URL,Word Count,Side A,Side B,Article Total:,Annotator: ,Article: Side A ,Side A Article Share,Article: Side B,Side B Article Share,Claude Total: ,CLAUDE Side A ,CLAUDE Side A Share,CLAUDE Side B ,CLAUDE Side B share ,CHAT  Total,Chat Side A ,Chat Side A Share,Chat Side B,Chat Side B Share: ,Groc Total: ,Groc Side A: ,Groc Side A Share: ,Groc Side B: ,Groc Side B Share: ,Claude Gap Side A,Claude Gap Side B,Chat Gap Side A,Chat Gap Side B,Groc Gap Side A,Grock Gap Side B,Imbalance Direction 
11,"Anti-Abortion March Brings Thousands to D.C., and a Sense of Frustration",Healthcare,NYT,https://www.nytimes.com/2026/01/23/us/march-for-life-trump-vance.html,,Frustrated anti-abortion activists,Moderate anti-abortion / Trump administration,1238,AN,601,0.8382147838,116,0.1617852162,183,183,1,0,0,205,191,0.9317073171,14,0.06829268293,191,119,0.9153846154,11,0.08461538462,0.1617852162,-0.1617852162,0.09349253325,-0.09349253325,0.07716983156,-0.07716983156,Side A heavy
12,Supreme Court restores abortion pill access — for now,Healthcare,Politico,https://www.politico.com/news/2026/05/04/supreme-court-mifepristone-ruling-00904892,,Pro-access / abortion providers and manufacturers,Anti-access / Louisiana and anti-abortion activists,738,AB,92,0.2159624413,334,0.7840375587,201,0,0,66,1,197,20,0.1075268817,166,0.8924731183,169,14,0.1228070175,100,0.8771929825,-0.2159624413,0.2159624413,-0.1084355596,0.1084355596,-0.09315542377,0.09315542377,Side B heavy
13,RFK Jr. launches plan to address ‘overuse’ of psychiatric medications,Healthcare,CNN,https://www.cnn.com/2026/05/05/health/rfk-jr-overprescribing-psychiatric-drugs-wellness,,Pro-Kennedy / MAHA initiative,Pro-mainstream psychiatry / opposition,466,AN,135,0.46875,153,0.53125,185,90,0.5294117647,80,0.4705882353,197,102,1,0,0,180,83,0.5424836601,70,0.4575163399,0.06066176471,-0.06066176471,0.53125,-0.53125,0.07373366013,-0.07373366013,balanced
14,Fertility treatment given special emphasis as Trump Rx site goes live,Healthcare,The Guardian,https://www.theguardian.com/us-news/2026/feb/16/trump-rx-fertility-ivf,,Administration/Efficiency,Medical/Equity,819,CK,171,0.2831125828,433,0.7168874172,167,25,0.1923076923,105,0.8076923077,184,21,0.1272727273,144,0.8727272727,163,34,0.425,46,0.575,-0.09080489047,0.09080489047,-0.1558398555,0.1558398555,0.1418874172,-0.1418874172,Side B heavy
15,"Trump urges GOP to be ‘flexible’ on Hyde Amendment, igniting backlash from pro-life allies",Healthcare,Fox News,https://www.foxnews.com/politics/trump-urges-gop-flexible-hyde-amendment-igniting-backlash-from-pro-life-allies?msockid=0965b964e592626e195fa8ade4f66332,,Trump/Pragmatists,Pro-Life Allies/Hardliners,697,AN,460,0.9255533199,37,0.07444668008,176,122,0.7577639752,39,0.2422360248,195,133,0.847133758,24,0.152866242,160,59,1,0,0,-0.1677893448,0.1677893448,-0.07841956196,0.07841956196,0.07444668008,-0.07444668008,Side A heavy
16,"Exclusive: U.S. and Iran closing in on one-page memo to end war, officials say",Middle East,Axios,https://www.axios.com/2026/05/06/iran-us-deal-one-page-memo,,US position / pro-deal optimism,Iranian position / skepticism,723,AN,381,0.8985849057,43,0.1014150943,181,69,0.5798319328,50,0.4201680672,221,0,0,164,1,225,36,0.72,14,0.28,-0.3187529729,0.3187529729,-0.8985849057,0.8985849057,-0.1785849057,0.1785849057,Side A heavy
17,What We Know About the Memo the U.S. and Iran Are Discussing,Middle East,WSJ,https://www.wsj.com/livecoverage/iran-war-trump-news/card/what-we-know-about-the-memo-the-u-s-and-iran-are-discussing-23L22Jp5PpcIdTymjmEe,,US position,Iranian position,264,AN,77,0.55,63,0.45,185,0,0,79,1,206,19,0.1016042781,168,0.8983957219,179,15,0.4285714286,20,0.5714285714,-0.55,0.55,-0.4483957219,0.4483957219,-0.1214285714,0.1214285714,balanced
18,Trump opens Hormuz under fire with ‘Project Freedom’ as Iran warns of attacks,Middle East,Fox News,https://www.foxnews.com/politics/trump-opens-hormuz-under-fire-project-freedom-iran-warns-attacks,,US/pro-operation side,Iranian/skeptical side,783,CK,311,0.6617021277,159,0.3382978723,182,43,0.6142857143,27,0.3857142857,205,163,1,0,0,169,43,0.671875,21,0.328125,-0.04741641337,0.04741641337,0.3382978723,-0.3382978723,0.01017287234,-0.01017287234,Side A heavy
19,"UAE to leave OPEC amid Hormuz oil crisis, a blow to Saudi Arabia",Middle East,Washington Post,https://www.washingtonpost.com/world/2026/04/28/uae-opec-iran-hormuz-trump-saudi/,,UAE/economic diversification perspective,OPEC unity/Saudi perspective,637,CK,164,0.6235741445,99,0.3764258555,181,27,1,0,0,207,49,0.5697674419,37,0.4302325581,203,63,0.8181818182,14,0.1818181818,0.3764258555,-0.3764258555,-0.05380670263,0.05380670263,0.1946076737,-0.1946076737,Side A heavy
20,Trump Tells Aides to Prepare for Extended Blockade of Iran,Middle East,WSJ,https://www.wsj.com/world/middle-east/trump-tells-aides-to-prepare-for-extended-blockade-of-iran-da3be7a4?mod=hp_lead_pos1,,Pro-blockade / hardline position,Skeptical / dovish position,1111,AB,471,0.5633971292,365,0.4366028708,173,97,0.8738738739,14,0.1261261261,203,135,1,0,0,180,53,0.5247524752,48,0.4752475248,0.3104767447,-0.3104767447,0.4366028708,-0.4366028708,-0.03864465394,0.03864465394,balanced
21,Trump calls Iran’s proposal ‘totally unacceptable’,Middle East,The Hill,https://thehill.com/homenews/administration/5871825-trump-iran-proposal-totally-unacceptable/,,"Trump Administration's ""maximum pressure"" stance",Iranian counter proposal ,361,AB,76,0.3502304147,141,0.6497695853,190,70,0.6086956522,45,0.3913043478,178,60,0.4026845638,89,0.5973154362,171,50,0.4807692308,54,0.5192307692,0.2584652374,-0.2584652374,0.05245414901,-0.05245414901,0.130538816,-0.130538816,Side B heavy
22,Senate Republicans again reject resolution to rein in Trump's Iran war,Middle East,PBS,https://www.pbs.org/newshour/politics/watch-live-senate-republicans-again-reject-resolution-to-rein-in-trumps-iran-war,,Republicans defending continued war ,Democrats/dissident Republicans ,852,CK,333,0.5711835334,250,0.4288164666,190,34,0.4096385542,49,0.5903614458,195,58,0.4754098361,64,0.5245901639,181,49,0.5268817204,44,0.4731182796,-0.1615449792,0.1615449792,-0.09577369738,0.09577369738,-0.04430181302,0.04430181302,balanced
23,What has the U.S. war with Iran accomplished?,Middle East,NPR,https://www.npr.org/2026/04/08/nx-s1-5771492/iran-war-goals-unmet-ceasefire-strait-hormuz-trump,,Administration claiming war success,Skeptics arguing that war has not been success,1655,CK,369,0.3172828891,794,0.6827171109,162,0,0,148,1,190,21,0.1220930233,151,0.8779069767,171,41,0.2827586207,104,0.7172413793,-0.3172828891,0.3172828891,-0.1951898658,0.1951898658,-0.03452426839,0.03452426839,Side B heavy
24,Advocates of a two-state solution realise time to act is now,Middle East,The Guardian ,https://www.theguardian.com/world/2025/jul/30/advocates-of-a-two-state-solution-realise-time-to-act-is-now,,Advocates of two state solution/palestine,Opposition of two state solution/israeli government,1010,AN,142,0.1893333333,608,0.8106666667,192,54,0.3121387283,119,0.6878612717,187,24,0.1678321678,119,0.8321678322,194,15,0.09933774834,136,0.9006622517,0.122805395,-0.122805395,-0.0215011655,0.0215011655,-0.08999558499,0.08999558499,Side B heavy
25,Biden’s Warning Over Rafah Sharpens a Problem for Netanyahu,Middle East,NYT,https://www.nytimes.com/2024/05/09/world/middleeast/biden-netanyahu-rafah-israel.html,,Israel/pro Rafah operation,US/those opposing Rafah operation,938,AB,385,0.5252387449,348,0.4747612551,175,32,0.2406015038,101,0.7593984962,197,78,0.5531914894,63,0.4468085106,180,64,0.496124031,65,0.503875969,-0.2846372411,0.2846372411,0.02795274448,-0.02795274448,-0.02911471388,0.02911471388,balanced
26,"U.S., Arab nations plan for postwar Gaza, timeline for Palestinian state",Middle East,Washington Post,https://www.washingtonpost.com/world/2024/02/14/gaza-peace-israel-palestinian-state/,,Pro two state solution/US/Arab Planners,Israeli opposition,1648,AN,189,0.2074643249,722,0.7925356751,190,31,0.2214285714,109,0.7785714286,203,16,0.08376963351,175,0.9162303665,239,24,0.2285714286,81,0.7714285714,0.01396424651,-0.01396424651,-0.1236946914,0.1236946914,0.02110710365,-0.02110710365,Side B heavy
27,"Trump, Iran are locked in high-stakes standoff as oil prices hit 4-year high",Middle East,Washington Post,https://www.washingtonpost.com/politics/2026/04/30/trump-iran-standoff-strait-hormuz/,,US position,Irans position,1711,AN,387,0.3339085418,772,0.6660914582,183,56,0.4786324786,61,0.5213675214,177,18,0.202247191,71,0.797752809,180,46,0.5,46,0.5,0.1447239368,-0.1447239368,-0.1316613508,0.1316613508,0.1660914582,-0.1660914582,Side B heavy
28,The U.S.-backed Gaza aid plan has started operating. Why are so many humanitarian groups opposed to it?,Middle East,PBS News,https://www.pbs.org/newshour/world/the-u-s-backed-gaza-aid-plan-has-started-operating-why-are-so-many-humanitarian-groups-opposed-to-it,,Pro Plan Argument/GHF,UN/Anti Plan argument,1169,CK,244,0.4221453287,334,0.5778546713,184,0,0,122,1,197,52,0.6046511628,34,0.3953488372,197,63,0.488372093,66,0.511627907,-0.4221453287,0.4221453287,0.1825058341,-0.1825058341,0.0662267643,-0.0662267643,balanced
29,"Gaza talks turn to key sticking points between Israel, Hamas",Middle East,Reuters ,https://www.reuters.com/world/middle-east/negotiators-gather-gaza-talks-mediators-caution-deal-may-not-be-swift-2025-10-06/,,Israels position,Hamas position ,915,AN,133,0.423566879,181,0.576433121,185,23,0.2323232323,76,0.7676767677,213,0,0,118,1,207,36,0.5373134328,31,0.4626865672,-0.1912436467,0.1912436467,-0.423566879,0.423566879,0.1137465539,-0.1137465539,balanced
30,What is Hamas and why is it fighting with Israel in Gaza?,Middle East,BBC,https://www.bbc.com/news/articles/clyv7w3gdy2o,,Israels position,Palestine position,1483,CK,407,0.5224646983,372,0.4775353017,191,102,0.698630137,44,0.301369863,220,47,0.2831325301,119,0.7168674699,186,31,0.3369565217,61,0.6630434783,0.1761654387,-0.1761654387,-0.2393321682,0.2393321682,-0.1855081766,0.1855081766,balanced
31,Justices seem inclined to revive Trump policy blocking migrants at border,Immigration,Washington Post,https://www.washingtonpost.com/politics/2026/03/24/supreme-court-asylum-migrant-border/?utm_source=chatgpt.com,,Trump Administration',Immigrant advocates/statuory rights,973,CK,277,0.4563426689,330,0.5436573311,186,62,0.6739130435,30,0.3260869565,208,64,0.64,36,0.36,184,82,0.6890756303,37,0.3109243697,0.2175703746,-0.2175703746,0.1836573311,-0.1836573311,0.2327329614,-0.2327329614,balanced
32,Supreme Court considers letting Trump administration revive restrictive immigration asylum policy,Immigration,AP,https://apnews.com/article/supreme-court-immigration-asylum-370cfe83c56f74fe56bf60cf2bebb07e,,Trump Administration/Justice Department,Immigrant advocates,771,AB,198,0.4974874372,200,0.5025125628,179,19,0.3166666667,41,0.6833333333,212,41,0.4141414141,58,0.5858585859,213,50,0.4201680672,69,0.5798319328,-0.1808207705,0.1808207705,-0.08334602304,0.08334602304,-0.07731936996,0.07731936996,balanced
33,Trump administration separates thousands of migrant families in the US,Immigration,AP,https://apnews.com/article/immigration-trump-family-separation-law-enforcement-detention-deportation-76e1c6239c1522aae010590195f97db3,,Enforcement ,Immigrant advocates,1125,AN,72,0.1481481481,414,0.8518518519,186,14,0.08045977011,160,0.9195402299,182,0,0,114,1,223,46,0.2211538462,162,0.7788461538,-0.06768837803,0.06768837803,-0.1481481481,0.1481481481,0.07300569801,-0.07300569801,Side B heavy
34,Democrats divided over Biden’s immigration executive order,Immigration,Washington Post,https://www.washingtonpost.com/politics/2024/06/04/democrats-divided-biden-immigration-executive-order/?utm_source=chatgpt.com,,Progressive democrats,Moderate democrats,1443,AB,499,0.4775119617,546,0.5224880383,186,24,0.3582089552,43,0.6417910448,206,54,0.4285714286,72,0.5714285714,185,70,0.6422018349,39,0.3577981651,-0.1193030065,0.1193030065,-0.04894053315,0.04894053315,0.1646898731,-0.1646898731,balanced
35,US appeals court lets Texas keep river barrier against border crossings,Immigration,Reuters ,https://www.reuters.com/legal/us-appeals-court-lets-texas-keep-river-barrier-against-illegal-border-crossings-2024-07-31/?utm_source=chatgpt.com,,Texas state/republican perspective,US Federal/Democratic Perspective,535,AN,226,0.585492228,160,0.414507772,194,128,0.8888888889,16,0.1111111111,209,60,0.5454545455,50,0.4545454545,164,97,0.8362068966,19,0.1637931034,0.3033966609,-0.3033966609,-0.04003768252,0.04003768252,0.2507146686,-0.2507146686,balanced
36,"US border security: What could Biden, Congress and Trump do?",Immigration,Reuters ,https://www.reuters.com/world/us/what-policies-do-biden-congress-have-us-border-2024-03-21/?utm_source=chatgpt.com,,Biden/Democrat,Republican ,958,CK,267,0.5235294118,243,0.4764705882,181,43,0.4215686275,59,0.5784313725,201,83,0.6058394161,54,0.3941605839,183,66,0.5038167939,65,0.4961832061,-0.1019607843,0.1019607843,0.08231000429,-0.08231000429,-0.01971261787,0.01971261787,balanced
37,"On US-Mexico Bridge, two sides of Biden border crackdown ",Immigration,Reuters ,https://www.reuters.com/world/us/us-mexico-bridge-two-sides-biden-border-crackdown-2024-06-19/?utm_source=chatgpt.com,,Enforcement ,Humanitarian harm/advocate ,1075,AN,125,0.2693965517,339,0.7306034483,187,38,0.3220338983,80,0.6779661017,201,39,0.203125,153,0.796875,213,39,0.2191011236,139,0.7808988764,0.05263734658,-0.05263734658,-0.06627155172,0.06627155172,-0.05029542813,0.05029542813,Side B heavy
38,Where Trump and Harris stand on immigration and border security,Immigration,AP ,https://www.ap.org/news-highlights/elections/2024/where-trump-and-harris-stand-on-immigration-and-border-security/,,Trump,Harris ,975,AN,332,0.5372168285,286,0.4627831715,192,115,0.8394160584,22,0.1605839416,206,73,0.45625,87,0.54375,197,79,0.5031847134,78,0.4968152866,0.3021992299,-0.3021992299,-0.08096682848,0.08096682848,-0.0340321151,0.0340321151,balanced
39,"Harris promises tougher immigration, fentanyl controls at border",Immigration,Reuters ,https://www.reuters.com/world/us/harris-visits-us-southern-border-trump-focuses-immigration-2024-09-27/?utm_source=chatgpt.com,,Trumps Policy,Harris Policy,916,AN,117,0.217472119,421,0.782527881,191,95,0.5900621118,66,0.4099378882,202,51,0.2881355932,126,0.7118644068,182,43,0.2828947368,109,0.7171052632,0.3725899928,-0.3725899928,0.07066347426,-0.07066347426,0.06542261788,-0.06542261788,Side B heavy
40,"Trump escalates harsh rhetoric against immigrants, Harris",Immigration,Reuters ,https://www.reuters.com/world/us/trump-escalates-dark-rhetoric-against-immigrants-harris-2024-09-28/?utm_source=chatgpt.com,,Kamala,Trump,523,AB,282,0.6542923434,149,0.3457076566,188,86,0.5149700599,81,0.4850299401,188,141,0.7790055249,40,0.2209944751,189,120,0.8888888889,15,0.1111111111,-0.1393222835,0.1393222835,0.1247131815,-0.1247131815,0.2345965455,-0.2345965455,Side A heavy
41,Democratic mayors face withering attacks on ‘sanctuary city’ policies,Immigration,Washington Post,https://www.washingtonpost.com/nation/2025/03/05/sanctuary-city-mayors-migrants-congress-testify/?utm_source=chatgpt.com,,House Republicans,Democratic Mayors,1436,AN,351,0.4420654912,443,0.5579345088,190,48,0.6486486486,26,0.3513513514,187,64,0.5245901639,58,0.4754098361,162,47,0.3533834586,86,0.6466165414,0.2065831575,-0.2065831575,0.08252467275,-0.08252467275,-0.08868203254,0.08868203254,balanced
42,Bill nullifying D.C.’s ‘sanctuary city’ law advanced by House Republicans,Immigration,Washington Post,https://www.washingtonpost.com/dc-md-va/2025/03/25/dc-sanctuary-city-house-republicans-committee-bill/?utm_source=chatgpt.com,,Federal Republicans ,Local democrats ,1159,AB,183,0.2756024096,481,0.7243975904,189,43,0.4387755102,55,0.5612244898,210,63,0.5833333333,45,0.4166666667,173,47,0.6438356164,26,0.3561643836,0.1631731006,-0.1631731006,0.3077309237,-0.3077309237,0.3682332068,-0.3682332068,Side B heavy
43,"US Court says ""metering"" policy limiting asylum applications is illegal ",Immigration,Reuters ,https://www.reuters.com/legal/government/us-court-says-metering-policy-limiting-asylum-applications-is-illegal-2024-10-23/?utm_source=chatgpt.com,,Pro asylum ,Pro enforcement ,683,AB,111,0.2890625,273,0.7109375,192,25,0.1736111111,119,0.8263888889,213,34,0.1857923497,149,0.8142076503,203,44,0.2993197279,103,0.7006802721,-0.1154513889,0.1154513889,-0.1032701503,0.1032701503,0.01025722789,-0.01025722789,Side B heavy
44,How Biden's order restricting asylum claims actually works ,Immigration,AP,https://apnews.com/article/biden-asylum-ban-halt-border-mexico-1905e3565b2da1cffb8f38a778c07118,,Pre-policy/enforcement,Advocate/humanitarian ,879,AN,130,0.6565656566,68,0.3434343434,174,18,0.2,72,0.8,200,12,0.08633093525,127,0.9136690647,155,70,0.8235294118,15,0.1764705882,-0.4565656566,0.4565656566,-0.5702347213,0.5702347213,0.1669637552,-0.1669637552,Side A heavy
45,"Detention and that border ""shutdown"": What's really in Biden's bipartisan immigration deal ",Immigration,Politico ,https://www.politico.com/news/2024/02/05/biden-bipartisan-immigration-deal-00139558,,Pro-deal/Biden,Progressive/left critics ,1202,CK,228,0.2704626335,615,0.7295373665,192,63,0.488372093,66,0.511627907,226,41,0.6612903226,21,0.3387096774,230,119,0.7300613497,44,0.2699386503,0.2179094596,-0.2179094596,0.3908276891,-0.3908276891,0.4595987162,-0.4595987162,Side B heavy
46,Trump cuts exacerbate budget fights in red states,Tax Policy,Politico ,https://www.politico.com/news/2026/03/25/trump-cuts-republican-state-budgets-00842704,,Pro bill/White house,Critical/state legislators ,897,AN,112,0.1495327103,637,0.8504672897,185,0,0,148,1,207,0,0,120,1,177,0,0,144,1,-0.1495327103,0.1495327103,-0.1495327103,0.1495327103,-0.1495327103,0.1495327103,Side B heavy
47,"Republicans lay groundwork for ""total tax cliff"" at end of Trump's term ",Tax Policy,The Hill ,https://thehill.com/business/5344999-republicans-tax-cliff-trump/,,Pro permanenet cuts ,Critics of the bill's structure ,1221,CK,281,0.4746621622,311,0.5253378378,188,59,0.3806451613,96,0.6193548387,206,57,0.3986013986,86,0.6013986014,207,90,0.6164383562,56,0.3835616438,-0.09401700087,0.09401700087,-0.07606076356,0.07606076356,0.141776194,-0.141776194,balanced
48,"Can Trump's tax cuts be made permanenet? Tarrifs, spending fights cloud the picture ",Tax Policy,Reuters ,https://www.reuters.com/world/us/can-trumps-tax-cuts-be-made-permanent-tariffs-spending-fights-cloud-picture-2025-05-08/,,Pro-permanent cuts side,Skeptics/critics side,907,AB,228,0.3171070932,491,0.6828929068,183,20,0.1470588235,116,0.8529411765,219,45,0.2472527473,137,0.7527472527,201,33,0.2291666667,111,0.7708333333,-0.1700482697,0.1700482697,-0.06985434593,0.06985434593,-0.08794042652,0.08794042652,Side B heavy
49,"US Senate plan to make Trump tax cuts permanent raises ""debt spiral"" worry",Tax Policy,Reuters ,http://reuters.com/en/us-senate-plan-make-trump-tax-cuts-permanent-raises-debt-spiral-worry-2025-03-02/,,Pro-permanent cuts side,Skeptic side ,832,AN,131,0.3429319372,251,0.6570680628,181,0,0,132,1,215,78,0.5454545455,65,0.4545454545,215,77,0.4842767296,82,0.5157232704,-0.3429319372,0.3429319372,0.2025226083,-0.2025226083,0.1413447924,-0.1413447924,Side B heavy
50,US Senate Republicans pass measure to move forward on Trump's tax cuts ,Tax Policy,Reuters ,https://www.reuters.com/world/us/us-senate-republicans-pass-measure-move-forward-trumps-tax-cuts-2025-04-05/,,Pro-bill/Republican ,Anti-bill/Democrat and skeptic side ,636,AN,171,0.4488188976,210,0.5511811024,186,0,0,55,1,211,73,0.5572519084,58,0.4427480916,184,107,0.7133333333,43,0.2866666667,-0.4488188976,0.4488188976,0.1084330108,-0.1084330108,0.2645144357,-0.2645144357,balanced
51,Trump tax bill averts one debt crisis but makes future financial woes worse,Tax Policy,Reuters ,https://www.reuters.com/world/us/trump-tax-bill-averts-one-debt-crisis-makes-future-financial-woes-worse-2025-07-03/,,Pro-bill/economic growth ,Fiscal concern/debt risk side,902,CK,193,0.3471223022,363,0.6528776978,186,30,0.2290076336,101,0.7709923664,207,62,0.3583815029,111,0.6416184971,180,59,0.4538461538,71,0.5461538462,-0.1181146686,0.1181146686,0.01125920073,-0.01125920073,0.1067238517,-0.1067238517,Side B heavy
52,What you need to know about the child tax credit as both campaigns embrace it,Tax Policy,NPR,https://www.npr.org/2024/08/15/nx-s1-5074121/child-tax-credit-explained-jd-vance-kamala-harris,,Pro-expanded/universal credit ,Skeptic /cost-conscious,1102,CK,279,0.4037626628,412,0.5962373372,177,25,0.1633986928,128,0.8366013072,230,46,0.3046357616,105,0.6953642384,213,37,0.2642857143,103,0.7357142857,-0.24036397,0.24036397,-0.09912690122,0.09912690122,-0.1394769485,0.1394769485,balanced
53,Measuring the cost of extending Trump's tax cuts becomes a flashpoint in Congress,Tax Policy,AP ,https://apnews.com/article/trump-tax-cuts-deficits-accounting-senate-b642681f7a4260dd8b25285199878d98,,Pro-change/Republican side,Anti-change/Democrat and fiscal watchdog side,1013,CK,229,0.3735725938,384,0.6264274062,188,23,0.2346938776,75,0.7653061224,212,30,0.2362204724,97,0.7637795276,198,71,0.5867768595,50,0.4132231405,-0.1388787162,0.1388787162,-0.1373521214,0.1373521214,0.2132042657,-0.2132042657,Side B heavy
54,How Trump's megabill transfers wealth in the US,Tax Policy,CNN,https://www.cnn.com/2025/05/24/politics/house-tax-spending-cuts-bill-explained,,Pro-bill/Republican ,Critical/democrat ,1901,AN,240,0.3243243243,500,0.6756756757,182,26,0.1805555556,118,0.8194444444,216,53,0.3136094675,116,0.6863905325,148,36,0.3130434783,79,0.6869565217,-0.1437687688,0.1437687688,-0.01071485687,0.01071485687,-0.01128084606,0.01128084606,Side B heavy
55,Investors see worsening US deficit outlook as tax bill heads to Senate ,Tax Policy,Reuters ,https://www.reuters.com/business/finance/investors-see-worsening-us-deficit-outlook-tax-bill-heads-senate-2025-05-23/,,Pro-tax cut/growth ,Deficit concern/skeptic side,908,CK,271,0.4524207012,328,0.5475792988,182,41,0.2426035503,128,0.7573964497,203,24,0.1678321678,119,0.8321678322,187,19,0.1275167785,130,0.8724832215,-0.2098171509,0.2098171509,-0.2845885333,0.2845885333,-0.3249039226,0.3249039226,balanced
